book_id,title,author,author_2,additional_authors,ISBN,ISBN13,my_rating,average_rating,Publisher,Binding,number_of_pages,year_published,original_publication_year,date_read,date_added,Bookshelves,bookshelves_status,exclusive_self,my_review,Spoiler,private_notes,read_count,owned_copies,genre,
198137999,Summer Fridays,Suzanne Rindell,"Rindell, Suzanne",,593473914,9780593473917,0,3.98,Dutton,Paperback,432,2024.0,2024.0,,2025/03/03,to-read,to-read (#181),to-read,,,,0,0,Fiction,
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,593135202,9780593135204,0,4.5,Ballantine Books,Hardcover,476,2021.0,2021.0,,2025/03/03,to-read,to-read (#180),to-read,,,,0,0,Fiction,
199798006,We Used to Live Here,Marcus Kliewer,"Kliewer, Marcus",,1982198788,9781982198787,0,3.71,Atria/Emily Bestler Books,Hardcover,312,2024.0,2024.0,,2025/03/03,to-read,to-read (#179),to-read,,,,0,0,Fiction,
54785515,Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"Burkeman, Oliver",,374159122,9780374159122,3,4.21,"Farrar, Straus and Giroux",Hardcover,271,2021.0,2021.0,2025/02/23,2024/11/14,,,read,,,,1,0,Self-Help,
62365896,How to Read a Book,Monica Wood,"Wood, Monica",,63243679,9780063243675,3,4.27,Mariner Books,Hardcover,288,2024.0,2024.0,2025/02/18,2024/06/02,,,read,,,,1,0,Fiction,
62226126,"The Last Devil to Die (Thursday Murder Club, #4)",Richard Osman,"Osman, Richard",,241512441,9780241512449,0,4.48,Viking,Hardcover,421,2023.0,2023.0,,2025/01/31,to-read,to-read (#178),to-read,,,,0,0,Fiction,
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,,9780008532772,3,3.74,William Morrow,Hardcover,319,2023.0,2023.0,2025/01/12,2025/01/12,,,read,,,,1,0,Fiction,
208931300,Intermezzo,Sally Rooney,"Rooney, Sally",,374602638,9780374602635,4,3.92,"Farrar, Straus and Giroux",Hardcover,454,2024.0,2024.0,2024/12/31,2024/03/10,,,read,,,,1,0,Fiction,
185040105,No. 23 Burlington Square,Jenni Keer,"Keer, Jenni",,,9781785139550,4,4.19,Boldwood Books,Kindle Edition,426,2023.0,2023.0,2024/12/15,2024/05/29,,,read,,,,1,0,Fiction,
374233,If on a Winter’s Night a Traveler,Italo Calvino,"Calvino, Italo",William Weaver,,,0,4.02,L&OD Key Porter,Paperback,260,1982.0,1979.0,,2024/11/26,to-read,to-read (#177),to-read,,,,0,0,Fiction,
9547888,Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,Amir Levine,"Levine, Amir",Rachel Heller,1585428485,9781585428489,0,4.14,Tarcher,Hardcover,304,2010.0,2010.0,,2024/11/26,to-read,to-read (#176),to-read,,,,0,0,Psychology,
52962238,Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail,Ray Dalio,"Dalio, Ray",,1982160276,9781982160272,4,4.28,Avid Reader Press / Simon & Schuster,Hardcover,576,2021.0,2021.0,2024/10/18,2022/07/08,,,read,,,,1,0,Business & Economics,
199393180,Invisible Doctrine: The Secret History of Neoliberalism,George Monbiot,"Monbiot, George",Peter Hutchison,593735153,9780593735152,0,4.43,Crown,Paperback,224,2024.0,2024.0,,2024/11/14,to-read,to-read (#175),to-read,,,,0,0,Political Science,
216857785,"Revenge of the Tipping Point: Overstories, Superspreaders, and the Rise of Social Engineering",Malcolm Gladwell,"Gladwell, Malcolm",,316575801,9780316575805,0,4.06,"Little, Brown and Company",Hardcover,352,2024.0,2024.0,,2024/10/25,to-read,to-read (#174),to-read,,,,0,0,Business & Economics,
123036004,The Berry Pickers,Amanda    Peters,"Peters, Amanda",,1646221958,9781646221950,0,4.12,Catapult,Hardcover,307,2023.0,2023.0,,2024/10/25,to-read,to-read (#173),to-read,,,,0,0,Fiction,
65678550,The Heaven & Earth Grocery Store,James   McBride,"McBride, James",,593422945,9780593422946,3,3.95,Riverhead Books,Hardcover,385,2023.0,2023.0,2024/09/08,2024/05/01,,,read,,,,1,0,Fiction,
59576064,All This Could Be Different,Sarah Thankam Mathews,"Mathews, Sarah Thankam",,593489128,9780593489123,0,3.83,Viking,Hardcover,320,2022.0,2022.0,,2024/08/23,to-read,to-read (#172),to-read,,,,0,0,Fiction,
61273339,The Double Life of Benson Yu,Kevin  Chong,"Chong, Kevin",,1668005492,9781668005491,0,3.53,Atria Books,Hardcover,224,2023.0,2023.0,,2024/08/23,to-read,to-read (#171),to-read,,,,0,0,Fiction,
176443380,Interesting Facts about Space,Emily R. Austin,"Austin, Emily R.",,1668014238,9781668014233,0,3.85,Atria Books,Hardcover,320,2024.0,2024.0,,2024/08/23,to-read,to-read (#170),to-read,,,,0,0,Fiction,
123856312,Landbridge: life in fragments,Y-Dang Troeung,"Troeung, Y-Dang",,1039008763,9781039008762,0,4.53,Knopf Canada,Hardcover,312,2023.0,,,2024/08/23,to-read,to-read (#169),to-read,,,,0,0,Biography & Autobiography,
55782639,"Set Boundaries, Find Peace: A Guide to Reclaiming Yourself",Nedra Glover Tawwab,"Tawwab, Nedra Glover",,593192109,9780593192108,0,4.27,Tarcherperigee,ebook,282,2021.0,2021.0,,2024/08/23,to-read,to-read (#168),to-read,,,,0,0,Self-Help,
1297123,The Black Obelisk,Erich Maria Remarque,"Remarque, Erich Maria",Denver Lindley,449912442,9780449912447,0,4.38,Random House Publishing Group,Paperback,434,1998.0,1956.0,,2024/08/20,to-read,to-read (#167),to-read,,,,0,0,Fiction,
58009109,The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,"Mallaby, Sebastian",,,9780525559993,0,4.43,Penguin Press,Hardcover,496,2022.0,2022.0,,2024/08/20,to-read,to-read (#166),to-read,,,,0,0,Business & Economics,
127482608,Come and Get It,Kiley Reid,"Reid, Kiley",,593328205,9780593328200,2,3.35,G.P. Putnam's Sons,Hardcover,400,2024.0,2024.0,2024/08/08,2024/04/30,,,read,,,,1,0,Fiction,
60321447,Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,"Miller, Chris",,1982172002,9781982172008,5,4.43,Scribner,Hardcover,464,2022.0,2022.0,2024/08/06,2024/07/22,,,read,,,,1,0,Business & Economics,
1208111,Man the Manipulator,Everett L. Shostrom,"Shostrom, Everett L.",,553136429,9780553136425,0,3.91,Bantam Books,Hardcover,256,1967.0,1967.0,,2024/08/06,to-read,to-read (#165),to-read,,,,0,0,Psychology,
192703,Transactional Analysis in Psychotherapy (Condor Books),Eric Berne,"Berne, Eric",,285647768,9780285647763,0,4.1,Souvenir Press,Paperback,272,1996.0,1961.0,,2024/08/06,to-read,to-read (#164),to-read,,,,0,0,Psychology,
49176,Games People Play,Eric Berne,"Berne, Eric",,345032799,9780345032799,0,3.74,Penguin,Mass Market Paperback,192,1964.0,1964.0,,2024/08/06,to-read,to-read (#163),to-read,,,,0,0,Psychology,
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","John Rutherford, Roberto González Echevarría",,,0,3.9,Penguin Books,Paperback,1023,2003.0,1615.0,2016/7/20,2024/07/30,,,read,,,,1,0,Fiction,
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,525562028,9780525562023,0,4.03,Penguin Press,Hardcover,246,2019.0,2019.0,,2024/07/30,to-read,to-read (#162),to-read,,,,0,0,Fiction,
20820994,I'll Give You the Sun,Jandy Nelson,"Nelson, Jandy",,803734964,9780803734968,0,4.16,Dial Books,Hardcover,371,2014.0,2014.0,,2024/07/30,to-read,to-read (#161),to-read,,,,0,0,Fiction,
8143909,Foster,Claire Keegan,"Keegan, Claire",,571255655,9780571255658,0,4.32,Faber & Faber,Paperback,89,2010.0,2010.0,,2024/07/30,to-read,to-read (#160),to-read,,,,0,0,Fiction,
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,802158749,9780802158741,4,4.15,Grove Press,Hardcover,128,2021.0,2021.0,2024/07/30,2024/05/01,,,read,,,,1,0,Fiction,
65137920,The Lost Bookshop,Evie  Woods,"Woods, Evie",Evie Gaughan,8609209,9780008609207,0,4.04,One More Chapter/HarperCollins UK,Kindle Edition,432,2023.0,2023.0,,2024/07/22,to-read,to-read (#159),to-read,,,,0,0,Fiction,
123857637,Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,"Voss, Chris",Tahl Raz,1847941494,9781847941497,4,4.36,Random House Business,Paperback,288,2023.0,2016.0,2024/07/19,2024/07/19,,,read,,,,1,0,Business & Economics,
